empleado_id,usuario_id,contrato_id,horario_id,nombres,apellidos,puesto_trabajo,numero_documento,correo_personal,username,celular_personal,fecha_nacimiento,direccion,cuenta_bancaria,cuenta_interbancaria,hora_entrada,hora_salida,inicio_almuerzo,fin_almuerzo
900001,910001,920001,930001,OJT,01,OJT,70000001,OJT01@gmail.com,OJT01@albru.ojt.pe,900000001,2000-01-01,Direccion OJT 01,12345900001,00212345900000000001,06:00,22:00,,
900002,910002,920002,930002,OJT,02,OJT,70000002,OJT02@gmail.com,OJT02@albru.ojt.pe,900000002,2000-01-02,Direccion OJT 02,12345900002,00212345900000000002,06:00,22:00,,
900003,910003,920003,930003,OJT,03,OJT,70000003,OJT03@gmail.com,OJT03@albru.ojt.pe,900000003,2000-01-03,Direccion OJT 03,12345900003,00212345900000000003,06:00,22:00,,
900004,910004,920004,930004,OJT,04,OJT,70000004,OJT04@gmail.com,OJT04@albru.ojt.pe,900000004,2000-01-04,Direccion OJT 04,12345900004,00212345900000000004,06:00,22:00,,
900005,910005,920005,930005,OJT,05,OJT,70000005,OJT05@gmail.com,OJT05@albru.ojt.pe,900000005,2000-01-05,Direccion OJT 05,12345900005,00212345900000000005,06:00,22:00,,
900006,910006,920006,930006,OJT,06,OJT,70000006,OJT06@gmail.com,OJT06@albru.ojt.pe,900000006,2000-01-06,Direccion OJT 06,12345900006,00212345900000000006,06:00,22:00,,
900007,910007,920007,930007,OJT,07,OJT,70000007,OJT07@gmail.com,OJT07@albru.ojt.pe,900000007,2000-01-07,Direccion OJT 07,12345900007,00212345900000000007,06:00,22:00,,
900008,910008,920008,930008,OJT,08,OJT,70000008,OJT08@gmail.com,OJT08@albru.ojt.pe,900000008,2000-01-08,Direccion OJT 08,12345900008,00212345900000000008,06:00,22:00,,
900009,910009,920009,930009,OJT,09,OJT,70000009,OJT09@gmail.com,OJT09@albru.ojt.pe,900000009,2000-01-09,Direccion OJT 09,12345900009,00212345900000000009,06:00,22:00,,
900010,910010,920010,930010,OJT,10,OJT,70000010,OJT10@gmail.com,OJT10@albru.ojt.pe,900000010,2000-01-10,Direccion OJT 10,12345900010,00212345900000000010,06:00,22:00,,
900011,910011,920011,930011,OJT,11,OJT,70000011,OJT11@gmail.com,OJT11@albru.ojt.pe,900000011,2000-01-11,Direccion OJT 11,12345900011,00212345900000000011,06:00,22:00,,
900012,910012,920012,930012,OJT,12,OJT,70000012,OJT12@gmail.com,OJT12@albru.ojt.pe,900000012,2000-01-12,Direccion OJT 12,12345900012,00212345900000000012,06:00,22:00,,
900013,910013,920013,930013,OJT,13,OJT,70000013,OJT13@gmail.com,OJT13@albru.ojt.pe,900000013,2000-01-13,Direccion OJT 13,12345900013,00212345900000000013,06:00,22:00,,
900014,910014,920014,930014,OJT,14,OJT,70000014,OJT14@gmail.com,OJT14@albru.ojt.pe,900000014,2000-01-14,Direccion OJT 14,12345900014,00212345900000000014,06:00,22:00,,
900015,910015,920015,930015,OJT,15,OJT,70000015,OJT15@gmail.com,OJT15@albru.ojt.pe,900000015,2000-01-15,Direccion OJT 15,12345900015,00212345900000000015,06:00,22:00,,
900016,910016,920016,930016,OJT,16,OJT,70000016,OJT16@gmail.com,OJT16@albru.ojt.pe,900000016,2000-01-16,Direccion OJT 16,12345900016,00212345900000000016,06:00,22:00,,
900017,910017,920017,930017,OJT,17,OJT,70000017,OJT17@gmail.com,OJT17@albru.ojt.pe,900000017,2000-01-17,Direccion OJT 17,12345900017,00212345900000000017,06:00,22:00,,
900018,910018,920018,930018,OJT,18,OJT,70000018,OJT18@gmail.com,OJT18@albru.ojt.pe,900000018,2000-01-18,Direccion OJT 18,12345900018,00212345900000000018,06:00,22:00,,
900019,910019,920019,930019,OJT,19,OJT,70000019,OJT19@gmail.com,OJT19@albru.ojt.pe,900000019,2000-01-19,Direccion OJT 19,12345900019,00212345900000000019,06:00,22:00,,
900020,910020,920020,930020,OJT,20,OJT,70000020,OJT20@gmail.com,OJT20@albru.ojt.pe,900000020,2000-01-20,Direccion OJT 20,12345900020,00212345900000000020,06:00,22:00,,
900021,910021,920021,930021,OJT,21,OJT,70000021,OJT21@gmail.com,OJT21@albru.ojt.pe,900000021,2000-01-21,Direccion OJT 21,12345900021,00212345900000000021,06:00,22:00,,
900022,910022,920022,930022,OJT,22,OJT,70000022,OJT22@gmail.com,OJT22@albru.ojt.pe,900000022,2000-01-22,Direccion OJT 22,12345900022,00212345900000000022,06:00,22:00,,
900023,910023,920023,930023,OJT,23,OJT,70000023,OJT23@gmail.com,OJT23@albru.ojt.pe,900000023,2000-01-23,Direccion OJT 23,12345900023,00212345900000000023,06:00,22:00,,
900024,910024,920024,930024,OJT,24,OJT,70000024,OJT24@gmail.com,OJT24@albru.ojt.pe,900000024,2000-01-24,Direccion OJT 24,12345900024,00212345900000000024,06:00,22:00,,
900025,910025,920025,930025,OJT,25,OJT,70000025,OJT25@gmail.com,OJT25@albru.ojt.pe,900000025,2000-01-25,Direccion OJT 25,12345900025,00212345900000000025,06:00,22:00,,
900026,910026,920026,930026,OJT,26,OJT,70000026,OJT26@gmail.com,OJT26@albru.ojt.pe,900000026,2000-01-26,Direccion OJT 26,12345900026,00212345900000000026,06:00,22:00,,
900027,910027,920027,930027,OJT,27,OJT,70000027,OJT27@gmail.com,OJT27@albru.ojt.pe,900000027,2000-01-27,Direccion OJT 27,12345900027,00212345900000000027,06:00,22:00,,
900028,910028,920028,930028,OJT,28,OJT,70000028,OJT28@gmail.com,OJT28@albru.ojt.pe,900000028,2000-01-28,Direccion OJT 28,12345900028,00212345900000000028,06:00,22:00,,
900029,910029,920029,930029,OJT,29,OJT,70000029,OJT29@gmail.com,OJT29@albru.ojt.pe,900000029,2000-01-29,Direccion OJT 29,12345900029,00212345900000000029,06:00,22:00,,
900030,910030,920030,930030,OJT,30,OJT,70000030,OJT30@gmail.com,OJT30@albru.ojt.pe,900000030,2000-01-30,Direccion OJT 30,12345900030,00212345900000000030,06:00,22:00,,
900031,910031,920031,930031,OJT,31,OJT,70000031,OJT31@gmail.com,OJT31@albru.ojt.pe,900000031,2000-01-31,Direccion OJT 31,12345900031,00212345900000000031,06:00,22:00,,
